timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1590012352638,476,People endpoint,200,OK,Scenario 1 1-3,text,true,,922,126,5,5,https://swapi.dev/api/people/3/,475,0,347
1590012352438,693,People endpoint,200,OK,Scenario 1 1-2,text,true,,920,126,5,5,https://swapi.dev/api/people/2/,693,0,555
1590012352291,837,People endpoint,200,OK,Scenario 1 1-1,text,true,,976,126,5,5,https://swapi.dev/api/people/1/,837,0,699
1590012352838,398,People endpoint,200,OK,Scenario 1 1-4,text,true,,870,126,2,2,https://swapi.dev/api/people/4/,398,0,292
1590012353038,399,People endpoint,200,OK,Scenario 1 1-5,text,false,"Value expected to match regexp 'Leia Organaa', but it did not match: 'Leia Organa'",868,126,1,1,https://swapi.dev/api/people/5/,399,0,294
